[23:04:02] [info] MAAT: Creating window MAAT Editor (1600, 900)
[23:04:02] [info] MAAT: OpenGL Info:
[23:04:02] [info] MAAT:   Vendor: ATI Technologies Inc.
[23:04:02] [info] MAAT:   Renderer: Radeon (TM) RX 480 Graphics
[23:04:02] [info] MAAT:   Version: 4.6.13596 Compatibility Profile/Debug Context 20.10.35.02 27.20.1034.6
[23:04:02] [warning] MAAT: Pixel data = 1036831949
[23:04:02] [warning] MAAT: Pixel data = 1036831949
[23:04:02] [warning] MAAT: Pixel data = 1036831949
[23:04:02] [warning] MAAT: Pixel data = 1036831949
[23:04:02] [warning] MAAT: Pixel data = 1036831949
[23:04:02] [warning] MAAT: Pixel data = 1036831949
[23:04:02] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:03] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:04] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
